,DOI,community,title
654,10.1214/009053606000000272,Functional/Longitudinal Analysis,Properties of principal component methods for functional and longitudinal data analysis
852,10.1214/009053604000000256,Variable Selection,Nonconcave penalized likelihood with a diverging number of parameters
2115,10.1198/016214506000000735,Variable Selection,The adaptive lasso and its oracle properties
2421,10.1198/jasa.2009.tm08302,Mixed Topics,Nonparametric {B}ayes conditional distribution modeling with variable selection
254,10.1214/08-AOS679,Dimension Reduction,Contour projected dimension reduction
1016,10.1093/biomet/asr074,Variable Selection,Factor profiled sure independence screening
10161,10.1093/biomet/asr074,Variable Selection,Factor profiled sure independence screening
2313,10.1198/016214508000000418,Dimension Reduction,Sliced regression for dimension reduction
13,10.1214/12-AOS993,Covariance Estimation,Two sample tests for high-dimensional covariance matrices
427,10.1214/07-AOS520,Variable Selection,The sparsity and bias of the {LASSO} selection in high-dimensional linear regression
183,10.1214/09-AOS764,Multiple Testing,Innovated higher criticism for detecting sparse signals in correlated noise
477,10.1214/009053607000000758,Covariance Estimation,Regularized estimation of large covariance matrices
489,10.1214/009053607000000352,Dimension Reduction,A constructive approach to the estimation of dimension reduction directions
1016.1,10.1093/biomet/asr074,Variable Selection,Factor profiled sure independence screening
61,10.1214/11-AOS884,Variable Selection,A majorization-minimization approach to variable selection using spike and slab priors
747,10.1214/009053605000000345,Mixed Topics,Empirical {B}ayes selection of wavelet thresholds
1946,10.1198/016214504000001439,Mixed Topics,Nonparametric inferences for additive models
2762,10.1198/jasa.2011.tm09779,Variable Selection,Nonparametric independence screening in sparse ultra-high-dimensional additive models
127,10.1214/10-AOS798,Variable Selection,Sure independence screening in generalized linear models with {NP}-dimensionality
3037,10.1111/j.1369-7412.2007.00606.x,Mixed Topics,Maximum likelihood estimation in semiparametric regression models with censored data
618,10.1214/009053606000000623,Mixed Topics,Conditional growth charts
2821,10.1080/01621459.2012.656014,Variable Selection,Quantile regression for analyzing heterogeneity in ultra-high dimension
127.1,10.1214/10-AOS798,Variable Selection,Sure independence screening in generalized linear models with {NP}-dimensionality
835,10.1214/009053604000000535,Mixed Topics,Robust inference for univariate proportional hazards frailty regression models
2115.1,10.1198/016214506000000735,Variable Selection,The adaptive lasso and its oracle properties
2716,10.1198/jasa.2011.tm10370,Mixed Topics,"Robust, adaptive functional regression in functional mixed model framework"
656,10.1214/009053606000000281,Variable Selection,High-dimensional graphs and variable selection with the lasso
2697,10.1198/jasa.2011.tm10465,Mixed Topics,Bayesian inference for general {G}aussian graphical models with application to multivariate lattice data
1016.11,10.1093/biomet/asr074,Variable Selection,Factor profiled sure independence screening
1722,10.1198/016214503000000828,Mixed Topics,Frequentist model average estimators
322,10.1214/08-AOS625,Variable Selection,On the adaptive elastic-net with a diverging number of parameters
1953,10.1198/016214504000001781,Mixed Topics,Semilinear high-dimensional model for normalization of microarray data: a theoretical analysis and partial consistency
